Date,Open,High,Low,Close,Adj Close,Volume
2015-08-19,166.820007,167.720001,164.449997,166.570007,145.085297,3139800
2015-08-20,164.330002,165.500000,161.029999,161.149994,140.364410,3491800
2015-08-21,158.970001,163.919998,155.190002,155.190002,135.173157,6208400
2015-08-24,145.330002,154.419998,140.000000,147.639999,128.596939,8697500
2015-08-25,152.500000,153.880005,144.880005,145.190002,126.462959,6701100
2015-08-26,151.229996,154.110001,147.130005,153.979996,134.119186,5251300
2015-08-27,154.880005,157.100006,151.360001,155.720001,135.634735,4910500
2015-08-28,156.380005,158.000000,153.710007,155.889999,135.782852,4649300
2015-08-31,155.330002,156.350006,151.300003,151.779999,132.202988,4354500
2015-09-01,149.229996,150.990005,146.949997,147.460007,128.440216,5523000
2015-09-02,149.070007,152.350006,147.250000,152.289993,132.647171,4339100
2015-09-03,152.679993,154.119995,148.929993,149.229996,129.981842,2868400
2015-09-04,147.490005,148.960007,145.750000,147.020004,128.056931,3362800
2015-09-08,151.600006,154.660004,151.000000,154.559998,134.624390,4508400
2015-09-09,156.190002,156.759995,150.619995,151.080002,131.593262,2987600
2015-09-10,150.839996,154.320007,150.559998,153.139999,133.387527,3477900
2015-09-11,152.050003,153.449997,150.929993,153.210007,133.448517,2422700
2015-09-14,153.889999,153.889999,150.050003,151.000000,131.523575,2896200
2015-09-15,152.020004,152.789993,150.240005,152.139999,132.516571,2560200
2015-09-16,151.970001,152.880005,148.470001,151.179993,131.680344,4004200
2015-09-17,151.699997,156.339996,151.000000,153.910004,134.058212,3519500
2015-09-18,151.119995,153.369995,149.029999,150.589996,131.166443,6487300
2015-09-21,151.970001,152.800003,146.320007,147.089996,128.117905,4702600
2015-09-22,145.000000,146.779999,142.820007,145.929993,127.107506,4518000
2015-09-23,146.080002,147.039993,144.029999,145.720001,126.924599,2785400
2015-09-24,144.720001,145.630005,141.360001,143.509995,124.999634,3519200
2015-09-25,146.059998,146.750000,136.759995,138.529999,120.662003,5243700
2015-09-28,137.990005,138.190002,130.089996,132.240005,115.183281,7514700
2015-09-29,132.000000,138.000000,131.429993,133.820007,116.559517,6251500
2015-09-30,136.660004,139.250000,135.860001,138.320007,120.479080,6209500
2015-10-01,138.550003,140.639999,136.600006,140.229996,122.142723,4675900
2015-10-02,138.259995,142.539993,135.639999,142.470001,124.093788,4803500
2015-10-05,144.000000,144.910004,142.220001,143.800003,125.252251,4367100
2015-10-06,142.119995,143.369995,138.059998,141.220001,123.005043,4759700
2015-10-07,142.649994,148.309998,140.240005,148.050003,128.954071,8002400
2015-10-08,147.679993,150.990005,145.029999,149.899994,130.565445,6638500
2015-10-09,149.250000,150.750000,148.009995,149.589996,130.295410,3080900
2015-10-12,152.779999,155.119995,151.630005,153.029999,133.291748,5473000
2015-10-13,151.539993,152.979996,147.440002,147.580002,128.544678,4143900
2015-10-14,148.380005,150.929993,147.130005,147.809998,128.745026,3197400
2015-10-15,147.449997,152.779999,146.970001,152.539993,132.864914,3269600
2015-10-16,153.190002,154.119995,150.580002,152.610001,132.925919,4793100
2015-10-19,152.610001,156.139999,152.460007,154.470001,134.545990,3271700
2015-10-20,154.190002,155.000000,149.470001,150.449997,131.044525,3385300
2015-10-21,152.369995,152.750000,147.300003,150.089996,130.730942,3832600
2015-10-22,152.100006,152.940002,148.570007,152.309998,132.664612,4079800
2015-10-23,153.610001,156.199997,151.860001,155.750000,135.660904,3657300
2015-10-26,156.000000,159.910004,154.649994,158.580002,138.125885,4346600
2015-10-27,158.580002,162.119995,157.830002,161.979996,141.087341,3877200
2015-10-28,162.720001,162.869995,158.729996,162.669998,141.688339,4878900
2015-10-29,164.990005,165.000000,158.940002,160.580002,139.867920,4870200
2015-10-30,161.059998,162.000000,158.130005,158.179993,137.777451,4589700
2015-11-02,159.009995,162.750000,158.369995,162.309998,141.374756,3222500
2015-11-03,160.970001,163.149994,160.500000,162.460007,141.505432,2411500
2015-11-04,162.850006,163.990005,160.770004,161.880005,141.000259,3059500
2015-11-05,162.199997,162.479996,158.820007,161.220001,140.425385,2202400
2015-11-06,160.869995,160.869995,156.839996,160.460007,139.763397,3344000
2015-11-09,159.750000,160.610001,158.320007,159.630005,139.040466,2722200
2015-11-10,160.250000,161.169998,158.050003,158.369995,137.942963,2871300
2015-11-11,159.259995,159.570007,156.759995,156.860001,136.627716,1920400
2015-11-12,155.940002,157.699997,150.820007,150.979996,132.171844,4767200
2015-11-13,150.679993,153.520004,148.000000,151.550003,132.670822,3855000
2015-11-16,152.020004,154.779999,151.100006,154.500000,135.253311,2443200
2015-11-17,154.910004,159.130005,153.699997,157.600006,137.967117,3644300
2015-11-18,158.110001,161.119995,156.350006,160.919998,140.873535,2975800
2015-11-19,159.889999,161.520004,158.830002,159.490005,139.621689,2041000
2015-11-20,160.740005,161.339996,159.550003,159.910004,139.989410,2728000
2015-11-23,159.630005,163.130005,159.630005,162.470001,142.230423,4168400
2015-11-24,161.009995,163.339996,161.000000,162.779999,142.501846,3687000
2015-11-25,163.050003,164.589996,162.710007,163.949997,143.526062,2134200
2015-11-27,164.759995,165.000000,163.139999,163.520004,143.149658,1052400
2015-11-30,163.490005,164.000000,160.360001,161.100006,141.031143,2982600
2015-12-01,162.710007,163.429993,160.520004,161.979996,141.801483,2429000
2015-12-02,161.619995,162.389999,160.100006,160.520004,140.523392,2871600
2015-12-03,160.270004,160.520004,153.710007,154.649994,135.384644,4468600
2015-12-04,154.960007,161.949997,154.949997,161.429993,141.320007,3920900
2015-12-07,162.910004,162.970001,157.539993,158.300003,138.579926,3566700
2015-12-08,156.610001,160.669998,156.039993,159.350006,139.499130,2249200
2015-12-09,158.350006,159.809998,156.119995,157.889999,138.221008,2995600
2015-12-10,158.970001,160.850006,157.000000,159.669998,139.779236,2814000
2015-12-11,157.820007,158.779999,154.789993,155.149994,135.822357,3005700
2015-12-14,155.979996,158.339996,153.429993,158.110001,138.413589,2780600
2015-12-15,161.649994,164.449997,161.559998,162.619995,142.361725,5365600
2015-12-16,164.309998,165.229996,162.100006,164.580002,144.077576,3923600
2015-12-17,164.580002,164.990005,159.809998,161.429993,141.320007,3699400
2015-12-18,160.500000,161.820007,158.619995,158.800003,139.017624,6227000
2015-12-21,159.880005,160.380005,157.380005,159.279999,139.437866,3818900
2015-12-22,160.500000,163.369995,160.039993,162.300003,142.081635,3125500
2015-12-23,163.029999,163.500000,161.649994,162.720001,142.449310,2202100
2015-12-24,163.699997,164.360001,162.220001,163.550003,143.175873,943000
2015-12-28,162.910004,163.130005,160.600006,161.729996,141.582657,1513000
2015-12-29,162.919998,164.960007,162.050003,164.440002,143.955048,2171100
2015-12-30,164.630005,164.750000,162.910004,163.289993,142.948318,1493000
2015-12-31,162.149994,164.110001,162.050003,162.330002,142.107895,1775900
2016-01-04,159.000000,159.220001,156.089996,158.339996,138.614960,5083200
2016-01-05,159.000000,160.210007,157.250000,158.169998,138.466080,2678900
2016-01-06,155.009995,157.929993,154.899994,156.720001,137.196777,3826900
2016-01-07,153.059998,156.449997,152.889999,152.979996,133.922638,4162500
2016-01-08,153.119995,154.860001,150.460007,150.710007,131.935486,4179600
2016-01-11,151.330002,151.589996,144.169998,147.690002,129.291641,4747400
2016-01-12,148.429993,151.240005,146.919998,150.789993,132.005447,4410600
2016-01-13,151.139999,152.830002,145.279999,145.460007,127.339470,3982100
2016-01-14,146.020004,155.300003,144.570007,153.160004,134.080231,5649000
2016-01-15,147.690002,152.300003,147.690002,151.300003,132.451920,6213000
2016-01-19,153.449997,154.619995,148.229996,151.300003,132.451920,4382200
2016-01-20,149.000000,156.839996,148.050003,155.020004,135.708527,7338600
2016-01-21,154.750000,155.020004,150.240005,152.779999,133.747559,4674000
2016-01-22,156.449997,156.960007,154.240005,156.080002,136.636475,4577300
2016-01-25,156.179993,158.000000,153.000000,153.429993,134.316589,4765100
2016-01-26,152.779999,155.229996,151.089996,153.779999,134.622971,3645500
2016-01-27,154.889999,154.889999,148.869995,150.470001,131.725342,3752300
2016-01-28,151.100006,151.710007,145.419998,148.350006,129.869431,4246500
2016-01-29,149.399994,153.000000,145.250000,152.729996,133.703812,7174400
2016-02-01,151.309998,153.720001,149.339996,152.750000,133.721313,4602200
2016-02-02,150.479996,151.490005,148.479996,150.110001,131.410187,3881400
2016-02-03,150.500000,151.179993,147.070007,150.690002,131.917923,4530600
2016-02-04,150.500000,151.960007,148.800003,149.910004,131.235107,3685200
2016-02-05,148.929993,149.389999,143.690002,145.039993,126.971771,6451900
2016-02-08,143.500000,144.570007,140.160004,143.000000,125.185921,4627300
2016-02-09,141.020004,145.630005,140.820007,143.160004,125.325981,4211100
2016-02-10,145.210007,147.130005,143.960007,144.809998,126.770454,4273500
2016-02-11,140.759995,143.490005,140.039993,141.460007,124.698898,4374400
2016-02-12,143.130005,144.970001,141.139999,144.720001,127.572586,3218000
2016-02-16,146.889999,148.059998,145.679993,147.149994,129.714691,3371300
2016-02-17,148.300003,151.520004,147.399994,151.070007,133.170227,3811100
2016-02-18,150.789993,152.360001,149.080002,149.300003,131.609970,2892100
2016-02-19,148.979996,151.759995,148.259995,150.119995,132.332779,2796800
2016-02-22,148.720001,149.770004,146.940002,148.559998,130.957642,4603300
2016-02-23,148.149994,149.720001,146.860001,147.259995,129.811661,3315200
2016-02-24,145.500000,147.270004,143.910004,147.110001,129.679428,3316100
2016-02-25,147.360001,148.389999,145.259995,146.750000,129.362045,3446800
2016-02-26,148.509995,149.500000,146.949997,147.600006,130.111359,3411500
2016-02-29,146.960007,147.669998,142.220001,142.279999,125.421700,5193800
2016-03-01,144.300003,148.449997,142.279999,148.389999,130.807770,4477700
2016-03-02,148.000000,148.630005,146.210007,147.490005,130.014389,3689900
2016-03-03,147.220001,147.289993,145.320007,145.839996,128.559906,2988900
2016-03-04,147.029999,147.300003,144.539993,145.979996,128.683304,3471400
2016-03-07,144.979996,147.869995,144.759995,147.309998,129.855743,3278800
2016-03-08,146.889999,147.000000,144.320007,144.630005,127.493279,3064100
2016-03-09,144.000000,144.080002,139.910004,140.899994,124.205246,6075400
2016-03-10,142.059998,143.479996,139.020004,141.029999,124.319832,4572900
2016-03-11,142.949997,144.990005,142.169998,144.570007,127.440392,4861700
