Date,Adj_Close,Adj_Volume
29/01/1993,28.22392695,1003200
01/02/1993,28.42466611,480500
02/02/1993,,201300
03/02/1993,28.78599661,529400
04/02/1993,28.90644011,531500
05/02/1993,28.88633408,492100
08/02/1993,28.88633408,596100
09/02/1993,28.68559491,122100
10/02/1993,28.72574275,379600
11/02/1993,28.86629228,19500
12/02/1993,28.64544708,42500
16/02/1993,27.92278608,374800
17/02/1993,27.90274428,210900
18/02/1993,27.88263824,378100
19/02/1993,27.98303994,34900
22/02/1993,28.08337741,513600
23/02/1993,28.06333561,373700
24/02/1993,28.42466611,26300
25/02/1993,28.48485574,44500
26/02/1993,28.52500358,66200
01/03/1993,28.44470791,66500
02/03/1993,28.86629228,182400
03/03/1993,28.98673578,280100
04/03/1993,28.82614445,89500
05/03/1993,28.74584878,40000
08/03/1993,29.38821412,50800
09/03/1993,29.28781241,169300
10/03/1993,29.34806628,194400
11/03/1993,29.26777062,70900
12/03/1993,28.96662975,643600
15/03/1993,29.10717928,310800
16/03/1993,29.10717928,30800
17/03/1993,28.92648191,21800
18/03/1993,29.10717928,59300
19/03/1993,29.06330573,66900
22/03/1993,28.90195479,183400
23/03/1993,28.96249366,55200
24/03/1993,28.96249366,37200
25/03/1993,29.1439812,110100
26/03/1993,28.98263026,101500
29/03/1993,29.10364346,87100
30/03/1993,29.18431893,56000
31/03/1993,29.16418234,111600
01/04/1993,29.06330573,129500
02/04/1993,28.45823971,59400
05/04/1993,28.59945405,172200
06/04/1993,28.51877858,129700
07/04/1993,28.61959065,28000
08/04/1993,28.57925291,180800
12/04/1993,28.98263026,348500
13/04/1993,29.04316913,146100
14/04/1993,29.0028314,119600
15/04/1993,29.0028314,148600
16/04/1993,29.0028314,47900
19/04/1993,28.88181819,157000
20/04/1993,28.74060385,279500
21/04/1993,28.72046725,67900
22/04/1993,28.35742764,97700
23/04/1993,28.23641443,106000
26/04/1993,28.01452462,62600
27/04/1993,28.3170899,156800
28/04/1993,28.25655103,85900
29/04/1993,28.37756424,85000
30/04/1993,28.41790197,88500
03/05/1993,28.59945405,80500
04/05/1993,28.70026612,149100
05/05/1993,28.78094159,109000
06/05/1993,28.68012952,54700
07/05/1993,28.61959065,68000
10/05/1993,28.68012952,113900
11/05/1993,28.80114272,42600
12/05/1993,28.76080499,31000
13/05/1993,28.41790197,129100
14/05/1993,28.39776537,63500
17/05/1993,28.49857744,34000
18/05/1993,28.47844084,105200
19/05/1993,29.06330573,50200
20/05/1993,29.1439812,98200
21/05/1993,28.88181819,221400
24/05/1993,29.0028314,30500
25/05/1993,29.06330573,191800
26/05/1993,29.42634534,102400
27/05/1993,29.32553328,53800
28/05/1993,29.18431893,79100
01/06/1993,29.46668308,28300
02/06/1993,29.42634534,20300
03/06/1993,29.32553328,21600
04/06/1993,29.22465667,32000
07/06/1993,29.1238446,121400
08/06/1993,28.86161706,104500
09/06/1993,28.96249366,43300
10/06/1993,28.98263026,17900
11/06/1993,29.10364346,647400
14/06/1993,29.06330573,64200
15/06/1993,29.0028314,142400
16/06/1993,29.06330573,330900
17/06/1993,29.16418234,37400
18/06/1993,28.92570565,58500
21/06/1993,28.98661213,29300
22/06/1993,29.00695763,137500
23/06/1993,28.74285619,227600
24/06/1993,29.1288356,243700
25/06/1993,29.10849011,44800
28/06/1993,29.43349804,439900
29/06/1993,29.29133957,207500
30/06/1993,29.29133957,437600
01/07/1993,29.21008759,605700
02/07/1993,29.04758362,285400
06/07/1993,28.74285619,246400
07/07/1993,28.82410817,343700
08/07/1993,29.1491161,248200
09/07/1993,29.23036808,378200
12/07/1993,29.21008759,373700
13/07/1993,29.18974209,389600
14/07/1993,29.29133957,617300
15/07/1993,29.1694616,443800
16/07/1993,29.08820961,216400
19/07/1993,29.06786412,188200
20/07/1993,29.1491161,68500
21/07/1993,29.1288356,142700
22/07/1993,28.92570565,632400
23/07/1993,29.06786412,286200
26/07/1993,29.23036808,121300
27/07/1993,29.21008759,92800
28/07/1993,29.1491161,30800
29/07/1993,29.31162006,331000
30/07/1993,29.1491161,75300
02/08/1993,29.23036808,41300
03/08/1993,29.25071358,81600
04/08/1993,29.25071358,434000
05/08/1993,29.18974209,36800
06/08/1993,29.23036808,402300
09/08/1993,29.39287205,828200
10/08/1993,29.37259155,604900
11/08/1993,29.37259155,542200
12/08/1993,29.29133957,303700
13/08/1993,29.33196556,103500
16/08/1993,29.49446952,241800
17/08/1993,29.596002,369300
18/08/1993,29.75850596,414300
19/08/1993,29.75850596,28500
20/08/1993,29.77885146,80700
23/08/1993,29.71787997,15600
24/08/1993,30.0428879,273400
25/08/1993,30.0632334,242300
26/08/1993,30.08351389,120000
27/08/1993,30.0632334,25700
30/08/1993,30.18511137,183500
31/08/1993,30.26636335,66500
01/09/1993,30.22573736,136500
02/09/1993,30.12413988,472400
03/09/1993,30.14448538,630500
07/09/1993,29.94135543,196400
08/09/1993,29.83975795,269900
09/09/1993,29.90072943,239200
10/09/1993,30.16476588,106500
13/09/1993,30.18511137,66900
14/09/1993,30.0632334,184500
15/09/1993,30.14448538,101000
16/09/1993,30.02260741,54300
17/09/1993,29.964756,200900
20/09/1993,29.71947832,57800
21/09/1993,29.61724659,318200
22/09/1993,29.86252426,439700
23/09/1993,30.02604271,88500
24/09/1993,29.94428349,53500
27/09/1993,30.27132039,274600
28/09/1993,30.21003367,158300
29/09/1993,30.10780194,221000
30/09/1993,30.04651522,99300
01/10/1993,30.18956116,22700
04/10/1993,30.23044077,1038500
05/10/1993,30.18956116,436500
06/10/1993,30.16915406,209200
07/10/1993,30.08739483,59400
08/10/1993,30.12827445,54400
11/10/1993,30.18956116,467100
12/10/1993,30.23044077,26200
13/10/1993,30.23044077,139100
14/10/1993,30.6188298,108100
15/10/1993,30.78234825,1502500
18/10/1993,30.70058902,722400
19/10/1993,30.47571845,880100
20/10/1993,30.51659806,230400
21/10/1993,30.47571845,56200
22/10/1993,30.33267251,390700
25/10/1993,30.41443173,114500
26/10/1993,30.39395922,186200
27/10/1993,30.41443173,118400
28/10/1993,30.6392369,129600
29/10/1993,30.6392369,80700
01/11/1993,30.72099612,36400
02/11/1993,30.70058902,262100
03/11/1993,30.3122,479100
04/11/1993,29.9851631,130400
05/11/1993,30.12827445,363200
08/11/1993,30.16915406,367600
09/11/1993,30.18956116,246900
10/11/1993,30.41443173,46500
11/11/1993,30.33267251,88900
12/11/1993,30.47571845,108200
15/11/1993,30.45531135,243300
16/11/1993,30.59835729,492600
17/11/1993,30.43483884,39600
18/11/1993,30.35307961,240800
19/11/1993,30.2917929,106000
22/11/1993,30.10780194,165300
23/11/1993,30.27132039,89700
24/11/1993,30.39395922,77200
26/11/1993,30.41443173,1019800
29/11/1993,30.2917929,517500
30/11/1993,30.3122,230000
01/12/1993,30.35307961,379200
02/12/1993,30.43483884,352000
03/12/1993,30.55747767,306000
06/12/1993,30.65970941,99500
07/12/1993,30.6392369,88800
08/12/1993,30.6392369,146700
09/12/1993,30.53707057,416500
10/12/1993,30.47571845,412900
13/12/1993,30.65970941,273200
14/12/1993,30.43483884,41900
15/12/1993,30.39395922,82600
16/12/1993,30.49619096,78200
17/12/1993,30.66265274,104700
20/12/1993,30.70381067,68800
21/12/1993,30.60088293,205700
22/12/1993,30.80667255,410300
23/12/1993,30.78612651,533800
27/12/1993,30.9507582,447100
28/12/1993,31.01246216,880600
29/12/1993,30.97130424,266700
30/12/1993,30.84783047,219900
31/12/1993,30.68319878,312900
03/01/1994,30.60088293,960900
04/01/1994,30.7243567,164300
05/01/1994,30.78612651,710900
06/01/1994,30.78612651,201000
07/01/1994,30.97130424,775500
10/01/1994,31.34172555,593700
11/01/1994,31.28002159,295200
12/01/1994,31.17709385,158400
13/01/1994,31.09477801,244300
14/01/1994,31.21825178,137200
17/01/1994,31.21825178,17700
18/01/1994,31.2594097,166400
19/01/1994,31.17709385,200800
20/01/1994,31.2594097,281100
21/01/1994,31.19770574,85600
24/01/1994,31.07423197,373800
25/01/1994,31.07423197,310400
26/01/1994,31.15654782,145100
27/01/1994,31.44465328,344500
28/01/1994,31.52696913,356500
31/01/1994,31.75330478,313800
01/02/1994,31.58867309,303600
02/02/1994,31.7944627,307600
03/02/1994,31.6504429,466100
04/02/1994,30.93014632,1403200
07/02/1994,31.07423197,516400
08/02/1994,31.09477801,188200
09/02/1994,31.21825178,144600
10/02/1994,30.9507582,883900
11/02/1994,31.05362009,519400
14/02/1994,31.09477801,2742100
15/02/1994,31.2594097,374700
16/02/1994,31.23886367,287600
17/02/1994,31.05362009,342400
18/02/1994,30.86844236,313300
22/02/1994,31.17709385,154500
23/02/1994,31.09477801,391700
24/02/1994,30.68319878,770800
25/02/1994,30.82728443,531300
28/02/1994,30.82728443,333000
01/03/1994,30.70381067,423600
02/03/1994,30.74496859,581500
03/03/1994,30.66265274,223200
04/03/1994,30.74496859,595800
07/03/1994,30.90960028,539800
08/03/1994,30.78612651,880300
09/03/1994,30.93014632,2500100
10/03/1994,30.68319878,207400
11/03/1994,30.84783047,576600
14/03/1994,30.88898839,345900
15/03/1994,30.86844236,748600
16/03/1994,31.1153899,455500
17/03/1994,31.1153899,133000
18/03/1994,31.10860707,365500
21/03/1994,31.02581628,324800
22/03/1994,31.10860707,435700
23/03/1994,31.08794249,698500
24/03/1994,30.71538392,1200500
25/03/1994,30.42561615,100900
28/03/1994,30.46701155,1117200
29/03/1994,29.86674519,338400
30/03/1994,29.45279123,1123900
31/03/1994,29.53558202,788800
04/04/1994,29.08023266,2627300
05/04/1994,29.68049902,1179000
06/04/1994,29.68049902,516500
07/04/1994,29.82534979,666100
08/04/1994,29.59770823,242400
11/04/1994,29.72189442,203300
12/04/1994,29.68049902,1409200
13/04/1994,29.5252484,364100
14/04/1994,29.53558202,419900
15/04/1994,29.53558202,387300
18/04/1994,29.33893667,369100
19/04/1994,29.38033206,472200
20/04/1994,29.34933585,508000
21/04/1994,29.742559,200300
22/04/1994,29.71149523,301800
25/04/1994,30.02199316,394600
26/04/1994,29.99093138,399000
28/04/1994,29.77362078,287000
29/04/1994,29.86674519,481900
02/05/1994,30.05305759,275000
