,PLAYER,TEAM,DIV,CONF,RANK,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,AVG PTS,AVG REB,AVG AST,AVG STL,AVG BLK,AVG PF
135,Langston Galloway,DET,Central,East,26,28,66,20,46,1702,677,236,542,43.5,132,331,39.9,73,85,85.9,33,116,149,101,40,48,11,96,1144.3,0,0,-143,10.257575757575758,2.257575757575758,1.5303030303030303,0.7272727272727273,0.16666666666666666,1.4545454545454546
136,Mike Conley,UTA,Northwest,West,10,32,47,26,21,1363,675,232,567,40.9,96,256,37.5,115,139,82.7,33,118,151,208,92,36,5,104,1199.2,0,0,73,14.361702127659575,3.2127659574468086,4.425531914893617,0.7659574468085106,0.10638297872340426,2.2127659574468086
137,Maxi Kleber,DAL,Southwest,West,13,28,74,42,32,1890,672,237,514,46.1,119,319,37.3,79,93,84.9,112,276,388,88,58,25,83,176,1535.6,2,0,104,9.08108108108108,5.243243243243243,1.1891891891891893,0.33783783783783783,1.1216216216216217,2.3783783783783785
138,Bobby Portis,NYK,Atlantic,East,25,25,66,21,45,1394,668,265,589,45.0,67,187,35.8,71,93,76.3,80,258,338,98,73,32,18,110,1297.6,5,0,-191,10.121212121212121,5.121212121212121,1.4848484848484849,0.48484848484848486,0.2727272727272727,1.6666666666666667
139,Mikal Bridges,PHX,Pacific,West,16,23,73,34,39,2042,667,247,484,51.0,70,194,36.1,103,122,84.4,66,226,292,129,73,102,46,163,1581.9,1,0,117,9.136986301369863,4.0,1.7671232876712328,1.3972602739726028,0.6301369863013698,2.232876712328767
140,Danuel House Jr.,HOU,Southwest,West,8,27,63,40,23,1913,662,230,539,42.7,129,355,36.3,73,90,81.1,57,210,267,85,54,67,34,132,1358.9,2,0,123,10.507936507936508,4.238095238095238,1.3492063492063493,1.0634920634920635,0.5396825396825397,2.0952380952380953
141,Monte Morris,DEN,Northwest,West,6,25,73,46,27,1637,660,260,566,45.9,65,172,37.8,75,89,84.3,24,113,137,255,53,55,17,73,1369.9,0,0,54,9.04109589041096,1.8767123287671232,3.493150684931507,0.7534246575342466,0.2328767123287671,1.0
142,Thaddeus Young,CHI,Central,East,24,32,64,22,42,1591,659,269,601,44.8,79,222,35.6,42,72,58.3,94,221,315,117,102,92,23,134,1455.5,2,0,-209,10.296875,4.921875,1.828125,1.4375,0.359375,2.09375
143,Josh Hart,NOP,Southwest,West,21,25,65,26,39,1755,656,225,532,42.3,121,354,34.2,85,115,73.9,61,364,425,108,75,63,23,160,1511.0,10,0,-114,10.092307692307692,6.538461538461538,1.6615384615384616,0.9692307692307692,0.35384615384615387,2.4615384615384617
144,Rui Hachimura,WAS,Southeast,East,23,22,48,15,33,1444,649,254,545,46.6,25,87,28.7,116,140,82.9,78,216,294,87,53,37,8,105,1214.3,3,0,-253,13.520833333333334,6.125,1.8125,0.7708333333333334,0.16666666666666666,2.1875
145,Kentavious Caldwell-Pope,LAL,Pacific,West,3,27,69,51,18,1762,645,237,507,46.7,92,239,38.5,79,102,77.5,38,104,142,111,62,57,14,128,1132.9,0,0,155,9.347826086956522,2.0579710144927534,1.608695652173913,0.8260869565217391,0.2028985507246377,1.855072463768116
146,Tomas Satoransky,CHI,Central,East,24,28,65,22,43,1878,644,237,551,43.0,64,199,32.2,106,121,87.6,76,178,254,354,130,80,7,135,1610.8,3,0,-69,9.907692307692308,3.9076923076923076,5.446153846153846,1.2307692307692308,0.1076923076923077,2.076923076923077
147,Cody Zeller,CHA,Southeast,East,22,27,58,18,40,1341,642,251,479,52.4,18,75,24.0,122,179,68.2,160,251,411,88,75,40,25,140,1387.2,10,0,-221,11.068965517241379,7.086206896551724,1.5172413793103448,0.6896551724137931,0.43103448275862066,2.413793103448276
148,Garrett Temple,BKN,Atlantic,East,14,34,62,30,32,1730,641,222,587,37.8,127,386,32.9,70,87,80.5,29,189,218,156,62,49,29,108,1308.6,2,0,-42,10.338709677419354,3.5161290322580645,2.5161290322580645,0.7903225806451613,0.46774193548387094,1.7419354838709677
149,Jeff Teague,ATL,Southeast,East,27,32,59,22,37,1464,641,213,489,43.6,43,117,36.8,172,197,87.3,27,115,142,308,116,44,19,106,1346.4,3,0,-170,10.864406779661017,2.406779661016949,5.220338983050848,0.7457627118644068,0.3220338983050847,1.7966101694915255
150,Aaron Holiday,IND,Central,East,7,23,66,42,24,1617,627,233,563,41.4,87,221,39.4,74,87,85.1,22,134,156,225,88,55,16,120,1276.7,3,0,113,9.5,2.3636363636363638,3.409090909090909,0.8333333333333334,0.24242424242424243,1.8181818181818181
151,Damion Lee,GSW,Pacific,West,30,27,49,12,37,1423,621,213,511,41.7,85,239,35.6,110,126,87.3,32,207,239,133,67,50,6,116,1208.3,3,0,-124,12.673469387755102,4.877551020408164,2.7142857142857144,1.0204081632653061,0.12244897959183673,2.36734693877551
152,Malik Beasley,MIN,Northwest,West,28,23,55,30,25,1209,615,227,534,42.5,107,276,38.8,54,66,81.8,18,130,148,75,57,40,8,77,992.1,1,0,-50,11.181818181818182,2.690909090909091,1.3636363636363635,0.7272727272727273,0.14545454545454545,1.4
153,Cam Reddish,ATL,Southeast,East,27,20,58,17,41,1551,610,213,554,38.4,83,250,33.2,101,126,80.2,35,181,216,87,96,62,28,132,1173.7,0,0,-244,10.517241379310345,3.7241379310344827,1.5,1.0689655172413792,0.4827586206896552,2.2758620689655173
154,Donte DiVincenzo,MIL,Central,East,1,23,66,53,13,1520,610,232,510,45.5,83,247,33.6,63,86,73.3,66,252,318,154,90,85,20,113,1447.6,1,0,409,9.242424242424242,4.818181818181818,2.3333333333333335,1.2878787878787878,0.30303030303030304,1.7121212121212122
155,Thomas Bryant,WAS,Southeast,East,23,22,46,15,31,1147,609,243,418,58.1,37,91,40.7,86,116,74.1,98,233,331,83,53,25,49,103,1299.7,11,0,-161,13.23913043478261,7.195652173913044,1.8043478260869565,0.5434782608695652,1.065217391304348,2.239130434782609
156,Justin Holiday,IND,Central,East,7,31,73,45,28,1826,603,208,486,42.8,134,331,40.5,53,67,79.1,32,206,238,93,44,87,46,137,1383.1,0,0,35,8.26027397260274,3.26027397260274,1.273972602739726,1.1917808219178083,0.6301369863013698,1.8767123287671232
157,Daniel Theis,BOS,Atlantic,East,5,28,65,42,23,1566,601,241,426,56.6,32,96,33.3,87,114,76.3,140,286,426,111,54,37,84,219,1587.7,7,0,203,9.246153846153845,6.553846153846154,1.7076923076923076,0.5692307692307692,1.2923076923076924,3.3692307692307693
158,D.J. Augustin,ORL,Southeast,East,18,32,57,28,29,1420,599,184,461,39.9,70,201,34.8,161,181,89.0,22,100,122,262,86,34,1,72,1157.4,0,0,76,10.508771929824562,2.1403508771929824,4.5964912280701755,0.5964912280701754,0.017543859649122806,1.263157894736842
159,Kent Bazemore,SAC,Pacific,West,20,30,68,32,36,1688,597,200,534,37.5,84,244,34.4,113,147,76.9,27,267,294,93,91,74,40,196,1340.3,0,0,10,8.779411764705882,4.323529411764706,1.3676470588235294,1.088235294117647,0.5882352941176471,2.8823529411764706
160,Austin Rivers,HOU,Southwest,West,8,27,68,43,25,1594,596,211,501,42.1,96,270,35.6,78,111,70.3,27,148,175,113,50,49,10,129,1102.5,0,0,82,8.764705882352942,2.573529411764706,1.661764705882353,0.7205882352941176,0.14705882352941177,1.8970588235294117
161,Ivica Zubac,LAC,Pacific,West,4,23,72,49,23,1326,596,236,385,61.3,0,2,0.0,124,166,74.7,197,346,543,82,61,16,66,168,1555.6,10,0,231,8.277777777777779,7.541666666666667,1.1388888888888888,0.2222222222222222,0.9166666666666666,2.3333333333333335
162,Paul Millsap,DEN,Northwest,West,6,35,51,30,21,1240,591,211,438,48.2,54,124,43.5,115,141,81.6,98,195,293,83,70,44,30,150,1219.1,5,0,223,11.588235294117647,5.745098039215686,1.6274509803921569,0.8627450980392157,0.5882352941176471,2.9411764705882355
163,Mitchell Robinson,NYK,Atlantic,East,25,22,61,20,41,1412,590,253,341,74.2,0,0,0.0,84,148,56.8,186,242,428,36,37,52,119,194,1633.6,8,0,-107,9.672131147540984,7.016393442622951,0.5901639344262295,0.8524590163934426,1.9508196721311475,3.180327868852459
164,Gary Harris,DEN,Northwest,West,6,25,56,37,19,1780,581,218,519,42.0,70,210,33.3,75,92,81.5,26,137,163,118,60,76,14,116,1163.6,0,0,122,10.375,2.9107142857142856,2.107142857142857,1.3571428571428572,0.25,2.0714285714285716
165,Jarrett Culver,MIN,Northwest,West,28,21,63,19,44,1506,580,230,569,40.4,66,221,29.9,54,117,46.2,70,142,212,110,81,57,38,125,1203.4,0,0,-103,9.206349206349206,3.365079365079365,1.746031746031746,0.9047619047619048,0.6031746031746031,1.9841269841269842
166,Anfernee Simons,POR,Northwest,West,15,21,70,32,38,1449,579,214,536,39.9,75,226,33.2,76,92,82.6,25,127,152,97,61,26,10,135,953.9,1,0,-248,8.271428571428572,2.1714285714285713,1.3857142857142857,0.37142857142857144,0.14285714285714285,1.9285714285714286
167,Shabazz Napier,WAS,Southeast,East,23,28,56,16,40,1344,578,188,456,41.2,76,240,31.7,126,153,82.4,26,132,158,262,128,69,11,101,1272.6,2,1,-96,10.321428571428571,2.8214285714285716,4.678571428571429,1.2321428571428572,0.19642857142857142,1.8035714285714286
168,Jeremy Lamb,IND,Central,East,7,28,46,27,19,1291,577,216,479,45.1,53,158,33.5,92,110,83.6,24,176,200,96,50,55,22,104,1142.0,2,0,1,12.543478260869565,4.3478260869565215,2.0869565217391304,1.1956521739130435,0.4782608695652174,2.260869565217391
169,Larry Nance Jr.,CLE,Central,East,29,27,56,16,40,1472,564,229,431,53.1,56,159,35.2,50,74,67.6,106,303,409,123,60,56,22,91,1413.3,12,0,-156,10.071428571428571,7.303571428571429,2.1964285714285716,1.0,0.39285714285714285,1.625
